step,numPoly,numIrrPoly,density
0,1,1,1.0
1,5,2,0.4
2,32,18,0.5625
3,288,153,0.53125
4,3413,2159,0.6325813067682391
5,3913,2517,0.6432404804497828
6,4413,2899,0.6569227283027419
7,4913,3299,0.6714838184408711
8,5413,3712,0.6857565121004988
9,5913,4146,0.7011669203450025
10,6413,4568,0.7123031342585373
11,6913,5009,0.7245768841313467
12,7413,5454,0.73573452043707
13,7913,5899,0.7454821180336155
14,8413,6352,0.7550219897777249
15,8913,6817,0.7648378772579378
16,9413,7274,0.7727610751088919
17,9913,7738,0.7805911429436094
18,10413,8199,0.7873811581676751
19,10913,8655,0.7930908091267296
20,11413,9133,0.8002278103916587
